Dataset,Framework,Average_Max_Test_Acc,Acc_std,Average_Max_F1_Score,F1_std,Average_Max_AUC,AUC_std
cifar10,FedAPM,0.742,0.010,0.729,0.010,0.868,0.012
cifar10,FedAvg,0.441,0.016,0.349,0.012,0.605,0.012
cifar10,FedAlt,0.678,0.013,0.656,0.014,0.836,0.012
cifar10,FedSim,0.602,0.019,0.575,0.021,0.808,0.009
cifar10,FedProx,0.412,0.016,0.311,0.008,0.575,0.013
crisis_mmd,FedAPM,0.357,0.028,0.294,0.008,0.519,0.015
crisis_mmd,FedAvg,0.374,0.023,0.288,0.012,0.510,0.027
crisis_mmd,FedAlt,0.364,0.025,0.289,0.010,0.513,0.019
crisis_mmd,FedSim,0.364,0.025,0.291,0.009,0.514,0.019
crisis_mmd,FedProx,0.380,0.017,0.291,0.009,0.507,0.024
ku_har,FedAPM,0.437,0.051,0.396,0.061,0.595,0.002
ku_har,FedAvg,0.142,0.004,0.050,0.004,0.464,0.023
ku_har,FedAlt,0.196,0.017,0.105,0.022,0.562,0.006
ku_har,FedSim,0.196,0.012,0.105,0.017,0.566,0.007
ku_har,FedProx,0.143,0.005,0.049,0.005,0.453,0.023
crema_d,FedAPM,0.651,0.007,0.590,0.009,0.695,0.018
crema_d,FedAvg,0.434,0.025,0.295,0.041,0.604,0.044
crema_d,FedAlt,0.444,0.031,0.304,0.042,0.642,0.020
crema_d,FedSim,0.444,0.031,0.304,0.042,0.643,0.020
crema_d,FedProx,0.438,0.032,0.297,0.045,0.600,0.046
