seed,framework,max_test_acc,max_f1_score,max_auc
1,FedAPM,,,
1,FedAvg,,,
1,FedAlt,,,
1,FedSim,,,
1,FedProx,,,
2,FedAPM,,,
2,FedAvg,,,
2,FedAlt,,,
2,FedSim,,,
2,FedProx,,,
3,FedAPM,,,
3,FedAvg,,,
3,FedAlt,,,
3,FedSim,,,
3,FedProx,,,
4,FedAPM,,,
4,FedAvg,,,
4,FedAlt,,,
4,FedSim,,,
4,FedProx,,,
5,FedAPM,,,
5,FedAvg,,,
5,FedAlt,,,
5,FedSim,,,
5,FedProx,,,
6,FedAPM,,,
6,FedAvg,,,
6,FedAlt,,,
6,FedSim,,,
6,FedProx,,,
7,FedAPM,,,
7,FedAvg,,,
7,FedAlt,,,
7,FedSim,,,
7,FedProx,,,
8,FedAPM,,,
8,FedAvg,,,
8,FedAlt,,,
8,FedSim,,,
8,FedProx,,,
9,FedAPM,,,
9,FedAvg,,,
9,FedAlt,,,
9,FedSim,,,
9,FedProx,,,
10,FedAPM,0.6532667949334615,0.5820426344871521,0.7145677208900452
10,FedAvg,0.42116452220618883,0.2724680006504059,0.5614920258522034
10,FedAlt,0.44151284672118,0.298410564661026,0.6559837460517883
10,FedSim,0.4382335257335257,0.29547059535980225,0.655870795249939
10,FedProx,,,
11,FedAPM,0.6533710117043451,0.5919899344444275,0.7113821506500244
11,FedAvg,0.4847237253487255,0.37616875767707825,0.5843846201896667
11,FedAlt,0.5047744308160976,0.3848685324192047,0.6093180179595947
11,FedSim,0.5049287518037519,0.38618987798690796,0.609713613986969
11,FedProx,,,
12,FedAPM,0.6444038600288599,0.5942995548248291,0.7003893852233887
12,FedAvg,,,
12,FedAlt,0.42270773208273205,0.2759418487548828,0.634330689907074
12,FedSim,0.42270773208273205,0.2764998972415924,0.6344029903411865
12,FedProx,,,
13,FedAPM,0.64237664341831,0.5793666243553162,0.674127459526062
13,FedAvg,0.42097162097162094,0.27220845222473145,0.6634373664855957
13,FedAlt,0.42097162097162094,0.27220845222473145,0.6406208276748657
13,FedSim,0.42097162097162094,0.27220845222473145,0.6439495086669922
13,FedProx,0.42097162097162094,0.27220845222473145,0.6621706485748291
14,FedAPM,0.6607678972262304,0.6036900281906128,0.6737335324287415
14,FedAvg,0.42361712361712356,0.2766454517841339,0.6503580212593079
14,FedAlt,0.4305009419592753,0.2877112030982971,0.6686714291572571
14,FedSim,0.4322370530703864,0.289033979177475,0.6686356067657471
14,FedProx,0.42361712361712356,0.2760322093963623,0.6478312611579895
15,FedAPM,,,
15,FedAvg,,,
15,FedAlt,,,
15,FedSim,,,
15,FedProx,,,
