seed,framework,max_test_acc,max_f1_score,max_auc
1,FedAPM,0.3452391595887349,0.28626924753189087,0.5225068926811218
1,FedAvg,0.36106392489941885,0.2813476622104645,0.4976871609687805
1,FedAlt,0.3497541350022351,0.28723737597465515,0.5088642835617065
1,FedSim,0.3546267322306661,0.2883642613887787,0.5138800144195557
1,FedProx,0.3708761734465803,0.28664183616638184,0.4976871609687805
2,FedAPM,,,
2,FedAvg,,,
2,FedAlt,,,
2,FedSim,,,
2,FedProx,,,
3,FedAPM,0.34027715690657134,0.289224773645401,0.49966150522232056
3,FedAvg,,,
3,FedAlt,0.3539785426911042,0.28259748220443726,0.496925413608551
3,FedSim,0.35073759499329465,0.2839539647102356,0.496925413608551
3,FedProx,0.36915511846222615,0.28834399580955505,0.496925413608551
4,FedAPM,0.3479213232007153,0.291610449552536,0.5414088368415833
4,FedAvg,0.35695127402771565,0.28198525309562683,0.5414088368415833
4,FedAlt,0.3555878408582923,0.2849624454975128,0.5414088368415833
4,FedSim,0.3483683504693786,0.28699493408203125,0.5414088368415833
4,FedProx,0.3715467143495753,0.28458383679389954,0.5414088368415833
5,FedAPM,,,
5,FedAvg,,,
5,FedAlt,,,
5,FedSim,,,
5,FedProx,,,
6,FedAPM,0.3396736700938757,0.2926303446292877,0.5276180505752563
6,FedAvg,0.36213679034421103,0.2813226282596588,0.5276180505752563
6,FedAlt,0.34709432275368796,0.28153806924819946,0.5276180505752563
6,FedSim,0.351966919982119,0.28881627321243286,0.5276180505752563
6,FedProx,0.3740277156906572,0.28513196110725403,0.5276180505752563
7,FedAPM,0.4139472507822976,0.308968186378479,0.5043570399284363
7,FedAvg,0.4139472507822976,0.308968186378479,0.4728413224220276
7,FedAlt,0.4139472507822976,0.308968186378479,0.49158206582069397
7,FedSim,0.4139472507822976,0.308968186378479,0.4912637770175934
7,FedProx,,,
8,FedAPM,,,
8,FedAvg,,,
8,FedAlt,,,
8,FedSim,,,
8,FedProx,,,
9,FedAPM,,,
9,FedAvg,,,
9,FedAlt,,,
9,FedSim,,,
9,FedProx,,,
10,FedAPM,,,
10,FedAvg,,,
10,FedAlt,,,
10,FedSim,,,
10,FedProx,,,
11,FedAPM,,,
11,FedAvg,,,
11,FedAlt,,,
11,FedSim,,,
11,FedProx,,,
12,FedAPM,,,
12,FedAvg,,,
12,FedAlt,,,
12,FedSim,,,
12,FedProx,,,
13,FedAPM,,,
13,FedAvg,,,
13,FedAlt,,,
13,FedSim,,,
13,FedProx,,,
14,FedAPM,,,
14,FedAvg,,,
14,FedAlt,,,
14,FedSim,,,
14,FedProx,,,
15,FedAPM,,,
15,FedAvg,,,
15,FedAlt,,,
15,FedSim,,,
15,FedProx,,,
